year,employment_ratio_annual
1994,49.608
1995,48.145999999999994
1996,49.112
1997,49.385
1998,53.42600000000001
1999,52.221
2000,51.269
2001,50.971
2002,50.28799999999999
2003,50.37800000000001
2004,50.080999999999996
2005,50.26
2006,50.684
2007,50.757
2008,50.945
2009,50.392
2010,50.745
2011,50.69
2012,50.53
2013,49.874
2014,49.454
2015,51.243
2016,51.446
2017,51.806999999999995
2018,49.488
2019,49.809
2020,47.786
2021,47.354000000000006
2022,47.476
2023,45.254
2024,46.54
2025,46.57399999999999
