date,year,month,employment_ratio_monthly,employment_ratio_annual
1994-01-01,1994,1,49.608,49.608
1994-02-01,1994,2,49.486167,49.608
1994-03-01,1994,3,49.364333,49.608
1994-04-01,1994,4,49.2425,49.608
1994-05-01,1994,5,49.120667,49.608
1994-06-01,1994,6,48.998833,49.608
1994-07-01,1994,7,48.877,49.608
1994-08-01,1994,8,48.755167,49.608
1994-09-01,1994,9,48.633333,49.608
1994-10-01,1994,10,48.5115,49.608
1994-11-01,1994,11,48.389667,49.608
1994-12-01,1994,12,48.267833,49.608
1995-01-01,1995,1,48.146,48.146
1995-02-01,1995,2,48.2265,48.146
1995-03-01,1995,3,48.307,48.146
1995-04-01,1995,4,48.3875,48.146
1995-05-01,1995,5,48.468,48.146
1995-06-01,1995,6,48.5485,48.146
1995-07-01,1995,7,48.629,48.146
1995-08-01,1995,8,48.7095,48.146
1995-09-01,1995,9,48.79,48.146
1995-10-01,1995,10,48.8705,48.146
1995-11-01,1995,11,48.951,48.146
1995-12-01,1995,12,49.0315,48.146
1996-01-01,1996,1,49.112,49.112
1996-02-01,1996,2,49.13475,49.112
1996-03-01,1996,3,49.1575,49.112
1996-04-01,1996,4,49.18025,49.112
1996-05-01,1996,5,49.203,49.112
1996-06-01,1996,6,49.22575,49.112
1996-07-01,1996,7,49.2485,49.112
1996-08-01,1996,8,49.27125,49.112
1996-09-01,1996,9,49.294,49.112
1996-10-01,1996,10,49.31675,49.112
1996-11-01,1996,11,49.3395,49.112
1996-12-01,1996,12,49.36225,49.112
1997-01-01,1997,1,49.385,49.385
1997-02-01,1997,2,49.72175,49.385
1997-03-01,1997,3,50.0585,49.385
1997-04-01,1997,4,50.39525,49.385
1997-05-01,1997,5,50.732,49.385
1997-06-01,1997,6,51.06875,49.385
1997-07-01,1997,7,51.4055,49.385
1997-08-01,1997,8,51.74225,49.385
1997-09-01,1997,9,52.079,49.385
1997-10-01,1997,10,52.41575,49.385
1997-11-01,1997,11,52.7525,49.385
1997-12-01,1997,12,53.08925,49.385
1998-01-01,1998,1,53.426,53.426
1998-02-01,1998,2,53.325583,53.426
1998-03-01,1998,3,53.225167,53.426
1998-04-01,1998,4,53.12475,53.426
1998-05-01,1998,5,53.024333,53.426
1998-06-01,1998,6,52.923917,53.426
1998-07-01,1998,7,52.8235,53.426
1998-08-01,1998,8,52.723083,53.426
1998-09-01,1998,9,52.622667,53.426
1998-10-01,1998,10,52.52225,53.426
1998-11-01,1998,11,52.421833,53.426
1998-12-01,1998,12,52.321417,53.426
1999-01-01,1999,1,52.221,52.221
1999-02-01,1999,2,52.141667,52.221
1999-03-01,1999,3,52.062333,52.221
1999-04-01,1999,4,51.983,52.221
1999-05-01,1999,5,51.903667,52.221
1999-06-01,1999,6,51.824333,52.221
1999-07-01,1999,7,51.745,52.221
1999-08-01,1999,8,51.665667,52.221
1999-09-01,1999,9,51.586333,52.221
1999-10-01,1999,10,51.507,52.221
1999-11-01,1999,11,51.427667,52.221
1999-12-01,1999,12,51.348333,52.221
2000-01-01,2000,1,51.269,51.269
2000-02-01,2000,2,51.244167,51.269
2000-03-01,2000,3,51.219333,51.269
2000-04-01,2000,4,51.1945,51.269
2000-05-01,2000,5,51.169667,51.269
2000-06-01,2000,6,51.144833,51.269
2000-07-01,2000,7,51.12,51.269
2000-08-01,2000,8,51.095167,51.269
2000-09-01,2000,9,51.070333,51.269
2000-10-01,2000,10,51.0455,51.269
2000-11-01,2000,11,51.020667,51.269
2000-12-01,2000,12,50.995833,51.269
2001-01-01,2001,1,50.971,50.971
2001-02-01,2001,2,50.914083,50.971
2001-03-01,2001,3,50.857167,50.971
2001-04-01,2001,4,50.80025,50.971
2001-05-01,2001,5,50.743333,50.971
2001-06-01,2001,6,50.686417,50.971
2001-07-01,2001,7,50.6295,50.971
2001-08-01,2001,8,50.572583,50.971
2001-09-01,2001,9,50.515667,50.971
2001-10-01,2001,10,50.45875,50.971
2001-11-01,2001,11,50.401833,50.971
2001-12-01,2001,12,50.344917,50.971
2002-01-01,2002,1,50.288,50.288
2002-02-01,2002,2,50.2955,50.288
2002-03-01,2002,3,50.303,50.288
2002-04-01,2002,4,50.3105,50.288
2002-05-01,2002,5,50.318,50.288
2002-06-01,2002,6,50.3255,50.288
2002-07-01,2002,7,50.333,50.288
2002-08-01,2002,8,50.3405,50.288
2002-09-01,2002,9,50.348,50.288
2002-10-01,2002,10,50.3555,50.288
2002-11-01,2002,11,50.363,50.288
2002-12-01,2002,12,50.3705,50.288
2003-01-01,2003,1,50.378,50.378
2003-02-01,2003,2,50.35325,50.378
2003-03-01,2003,3,50.3285,50.378
2003-04-01,2003,4,50.30375,50.378
2003-05-01,2003,5,50.279,50.378
2003-06-01,2003,6,50.25425,50.378
2003-07-01,2003,7,50.2295,50.378
2003-08-01,2003,8,50.20475,50.378
2003-09-01,2003,9,50.18,50.378
2003-10-01,2003,10,50.15525,50.378
2003-11-01,2003,11,50.1305,50.378
2003-12-01,2003,12,50.10575,50.378
2004-01-01,2004,1,50.081,50.081
2004-02-01,2004,2,50.095917,50.081
2004-03-01,2004,3,50.110833,50.081
2004-04-01,2004,4,50.12575,50.081
2004-05-01,2004,5,50.140667,50.081
2004-06-01,2004,6,50.155583,50.081
2004-07-01,2004,7,50.1705,50.081
2004-08-01,2004,8,50.185417,50.081
2004-09-01,2004,9,50.200333,50.081
2004-10-01,2004,10,50.21525,50.081
2004-11-01,2004,11,50.230167,50.081
2004-12-01,2004,12,50.245083,50.081
2005-01-01,2005,1,50.26,50.26
2005-02-01,2005,2,50.295333,50.26
2005-03-01,2005,3,50.330667,50.26
2005-04-01,2005,4,50.366,50.26
2005-05-01,2005,5,50.401333,50.26
2005-06-01,2005,6,50.436667,50.26
