period,year,month,month_name,quarter,employment_ratio_monthly,employment_ratio_annual
1994-01,1994,1,Jan,Q1,49.608,49.608
1994-02,1994,2,Feb,Q1,49.486,49.608
1994-03,1994,3,Mar,Q1,49.364,49.608
1994-04,1994,4,Apr,Q2,49.242,49.608
1994-05,1994,5,May,Q2,49.121,49.608
1994-06,1994,6,Jun,Q2,48.999,49.608
1994-07,1994,7,Jul,Q3,48.877,49.608
1994-08,1994,8,Aug,Q3,48.755,49.608
1994-09,1994,9,Sep,Q3,48.633,49.608
1994-10,1994,10,Oct,Q4,48.512,49.608
1994-11,1994,11,Nov,Q4,48.39,49.608
1994-12,1994,12,Dec,Q4,48.268,49.608
1995-01,1995,1,Jan,Q1,48.146,48.146
1995-02,1995,2,Feb,Q1,48.226,48.146
1995-03,1995,3,Mar,Q1,48.307,48.146
1995-04,1995,4,Apr,Q2,48.388,48.146
1995-05,1995,5,May,Q2,48.468,48.146
1995-06,1995,6,Jun,Q2,48.548,48.146
1995-07,1995,7,Jul,Q3,48.629,48.146
1995-08,1995,8,Aug,Q3,48.71,48.146
1995-09,1995,9,Sep,Q3,48.79,48.146
1995-10,1995,10,Oct,Q4,48.87,48.146
1995-11,1995,11,Nov,Q4,48.951,48.146
1995-12,1995,12,Dec,Q4,49.032,48.146
1996-01,1996,1,Jan,Q1,49.112,49.112
1996-02,1996,2,Feb,Q1,49.135,49.112
1996-03,1996,3,Mar,Q1,49.158,49.112
1996-04,1996,4,Apr,Q2,49.18,49.112
1996-05,1996,5,May,Q2,49.203,49.112
1996-06,1996,6,Jun,Q2,49.226,49.112
1996-07,1996,7,Jul,Q3,49.248,49.112
1996-08,1996,8,Aug,Q3,49.271,49.112
1996-09,1996,9,Sep,Q3,49.294,49.112
1996-10,1996,10,Oct,Q4,49.317,49.112
1996-11,1996,11,Nov,Q4,49.34,49.112
1996-12,1996,12,Dec,Q4,49.362,49.112
1997-01,1997,1,Jan,Q1,49.385,49.385
1997-02,1997,2,Feb,Q1,49.722,49.385
1997-03,1997,3,Mar,Q1,50.058,49.385
1997-04,1997,4,Apr,Q2,50.395,49.385
1997-05,1997,5,May,Q2,50.732,49.385
1997-06,1997,6,Jun,Q2,51.069,49.385
1997-07,1997,7,Jul,Q3,51.406,49.385
1997-08,1997,8,Aug,Q3,51.742,49.385
1997-09,1997,9,Sep,Q3,52.079,49.385
1997-10,1997,10,Oct,Q4,52.416,49.385
1997-11,1997,11,Nov,Q4,52.752,49.385
1997-12,1997,12,Dec,Q4,53.089,49.385
1998-01,1998,1,Jan,Q1,53.426,53.426
1998-02,1998,2,Feb,Q1,53.326,53.426
1998-03,1998,3,Mar,Q1,53.225,53.426
1998-04,1998,4,Apr,Q2,53.125,53.426
1998-05,1998,5,May,Q2,53.024,53.426
1998-06,1998,6,Jun,Q2,52.924,53.426
1998-07,1998,7,Jul,Q3,52.824,53.426
1998-08,1998,8,Aug,Q3,52.723,53.426
1998-09,1998,9,Sep,Q3,52.623,53.426
